 EVN Resources: ConText 1.0.0
 ---------------------------------
 Analysed: 2006.04.20 at 19:21
 
 Files :
 -------
   1 : EV Data
   2 : EV Graphics
   3 : EV Ships
   4 : EV Sounds
   5 : EV Titles
   6 : Nova Essentials
   7 : Nova Music
 -------

 Full EVN Resource Listing:
 ----------------------------------

 Total Resources Found    : 1678
 --------------------------

    bööm Found    : 3
    chär Found    : 1
    cölr Found    : 1
    crön Found    : 0
    dësc Found    : 648
    düde Found    : 67
    flët Found    : 19
    gövt Found    : 25
    ïntf Found    : 1
    jünk Found    : 19
    mïsn Found    : 116
    nëbu Found    : 2
    oütf Found    : 53
    öops Found    : 52
    përs Found    : 220
    ränk Found    : 0
    röid Found    : 16
    shän Found    : 27
    shïp Found    : 27
    spïn Found    : 83
    spöb Found    : 107
    sÿst Found    : 108
    wëap Found    : 25
    STR  Found    : 0
    STR# Found    : 58
 --------------------------

 Resource Duplicates by Type:
 ----------------------------

 ----------------------------


• Begin Output
••••••••••••••••

• Begin bööm
"Type"	"ID"	"Name"	"File"	"FrameAdvance"	"SoundIndex"	"GraphicIndex"	"EOR"
bööm	128	"FAE Small"	"Nova Essentials"	100	2	0	"•"
bööm	129	"FAE Medium"	"Nova Essentials"	100	1	1	"•"
bööm	130	"FAE Large"	"Nova Essentials"	100	0	2	"•"
• Begin chär
"Type"	"ID"	"Name"	"File"	"startCash"	"startShipType"	"startSystem1"	"startSystem2"	"startSystem3"	"startSystem4"	"startGovt1"	"startGovt2"	"startGovt3"	"startGovt4"	"startStatus1"	"startStatus2"	"startStatus3"	"startStatus4"	"startKills"	"introTextID"	"introPictID1"	"introPictID2"	"introPictID3"	"introPictID4"	"introPictDelay1"	"introPictDelay2"	"introPictDelay3"	"introPictDelay4"	"onStart"	"Flags"	"startDay"	"starMonth"	"startYear"	"DatePrefix"	"DateSuffix"	"EOR"
chär	128	".Trader"	"EV Data"	10000	128	128	128	128	128	-1	-1	-1	-1	-1	-1	-1	-1	0	20000	8200	-1	-1	-1	45	-1	-1	-1	""	0x0001	4	5	2246	""	""	"•"
• Begin cölr
"Type"	"ID"	"Name"	"File"	"ButtonUp"	"ButtonDown"	"ButtonGrey"	"MenuFont"	"MenuFontSize"	"MenuColor1"	"MenuColor2"	"GridBright"	"GridDim"	"ProgArea.left"	"ProgArea.top"	"ProgArea.right"	"ProgArea.bottom"	"ProgBright"	"ProgDim"	"ProgOutline"	"Button1x"	"Button1y"	"Button2x"	"Button2y"	"Button3x"	"Button3y"	"Button4x"	"Button4y"	"Button5x"	"Button5y"	"Button6x"	"Button6y"	"FloatingMap"	"ListText"	"ListBkgnd"	"ListHilite"	"EscortHilite"	"ButtonFont"	"ButtonFontSz"	"LogoX"	"LogoY"	"RolloverX"	"RolloverY"	"SliderX1"	"SliderY1"	"SliderX2"	"SliderY2"	"SliderX3"	"SliderY3"	"EOR"
cölr	128	"EV Colors"	"EV Titles"	#FFFFFF	#00FF00	#000000	"Geneva"	9	#00FF00	#008200	#00FF00	#404040	-100	280	100	290	#00FF00	#008200	#404040	272	388	272	460	272	528	520	388	520	460	520	528	#0C0C0C	#FFFFFF	#000000	#008200	#008200	"Crillee"	12	276	132	8448	8416	272	388	272	460	272	528	"•"
• Begin dësc
"Type"	"ID"	"Name"	"File"	"Graphic"	"Movie"	"Flags"	"Description"	"EOR"
dësc	128	""	"EV Data"	-1	""	0x0000	"As every schoolkid knows, Earth is the homeworld of the human race. It is also the capital of the Confederation."	"•"
dësc	129	""	"EV Data"	-1	""	0x0000	"Stardock Alpha is the Confederation Navy’s primary spacedock and ship refitting complex."	"•"
dësc	130	""	"EV Data"	-1	""	0x0000	"Mars is the human race’s second-oldest colony world. It was first settled in the middle of the 21st century, and is now home to nearly a billion inhabitants."	"•"
dësc	131	""	"EV Data"	-1	""	0x0000	"Landfall was the first extrasolar planet settled by colony ships from Earth. Today it is a booming industrial world."	"•"
dësc	132	""	"EV Data"	-1	""	0x0000	"Luna is Earth’s only moon. Terran Naval yards has its main shipyard facilities here, as Luna’s low gravity and near-perfect vacuum are ideal for heavy warship construction."	"•"
dësc	133	""	"EV Data"	-1	""	0x0000	"Levo is an independent world that has resisted joining the Confederation. Anyone is welcome at the tiny but neutral Levo Spaceport, located on the island of Locanda in Levo’s southern ocean."	"•"
dësc	134	""	"EV Data"	-1	""	0x0000	"New Britain is a populous island world, and one of the first worlds settled during the Great Expansion. Much of New Britain’s exports are food products, as its oceans are teeming with plant and animal life. "	"•"
dësc	135	""	"EV Data"	-1	""	0x0000	"Capella is a lush, beautiful planet that attracts many tourists. Hundreds of Centauri Spacelines ships visit Capella each year."	"•"
dësc	136	""	"EV Data"	-1	""	0x0000	"Dune is a parched desert world. The few people who live on this planet say they do so for the solitude."	"•"
dësc	137	""	"EV Data"	-1	""	0x0000	"Spica is a world shrouded by toxic clouds and a choking atmosphere. The uridium miners who work here have the highest fatality rate of any in the galaxy, as even a brief accidental exposure to Spica’s atmosphere is instantly fatal."	"•"
dësc	138	""	"EV Data"	-1	""	0x0000	"Maxwell’s Purchase is a peaceful, independent world dedicated mainly to farming and some light manufacturing. The delicious junga root is grown primarily on  this planet."	"•"
dësc	139	""	"EV Data"	-1	""	0x0000	"Hodgson’s World is home to some of the best lobster in the galaxy."	"•"
dësc	140	""	"EV Data"	-1	""	0x0000	"The nighttime sky of Northstar is truly a sight to behold. The luminescent rings that circle the planet carve a glimmering arc across the sky each night, providing a spectacular show for natives and visitors alike. "	"•"
dësc	141	""	"EV Data"	-1	""	0x0000	"Master’s Planet is a strange world with few known inhabitants. The occasional visitor has been known to disappear on Master’s Planet, though so far no explanation has been found for these occurrances."	"•"
dësc	142	""	"EV Data"	-1	""	0x0000	"Many of the inhabitants of Torgo Prime are carriers of the awful Torgo virus, which causes extreme swelling of the joints and degradation of the speech centers of the brain. In its later stages, the Torgo virus renders its victims incapable of functioning in normal society. No cure is known, so the relief ships keep coming here, delivering medical supplies to fight off the disease."	"•"
dësc	143	""	"EV Data"	-1	""	0x0000	"Sirius III - a gas giant."	"•"
dësc	144	""	"EV Data"	-1	""	0x0000	"Sirius Station is the main operating base of the Sirius Cybernetics Corporation, makers of fine cybernetic products."	"•"
dësc	145	""	"EV Data"	-1	""	0x0000	"Tau Ceti IV was first visited by the colony ship Marathon."	"•"
dësc	146	""	"EV Data"	-1	""	0x0000	"Merlin is the largest moon of Tau Ceti IV. Its size is sufficent to hold an atmosphere, and conditions on Merlin are quite Earthlike, save for the somewhat lower gravity. The inhabitants of Merlin hold human-powered air races several times a year."	"•"
