 EVN Resources: ConText 1.0.0
 ---------------------------------
 Analysed: 2006.05.04 at 05:23
 
 Files :
 -------
   1 : Miners
   2 : Miners ship descs with images
   3 : Miners ships
 -------

 Full EVN Resource Listing:
 ----------------------------------

 Total Resources Found    : 353
 --------------------------

    bööm Found    : 0
    chär Found    : 1
    cölr Found    : 0
    crön Found    : 0
    dësc Found    : 90
    düde Found    : 8
    flët Found    : 0
    gövt Found    : 3
    ïntf Found    : 0
    jünk Found    : 6
    mïsn Found    : 1
    nëbu Found    : 0
    oütf Found    : 71
    öops Found    : 0
    përs Found    : 0
    ränk Found    : 0
    röid Found    : 0
    shän Found    : 21
    shïp Found    : 36
    spïn Found    : 17
    spöb Found    : 22
    sÿst Found    : 52
    wëap Found    : 19
    STR  Found    : 0
    STR# Found    : 6
 --------------------------

 Resource Duplicates by Type:
 ----------------------------

 ----------------------------


• Begin Output
••••••••••••••••

• Begin chär
"Type"	"ID"	"Name"	"File"	"startCash"	"startShipType"	"startSystem1"	"startSystem2"	"startSystem3"	"startSystem4"	"startGovt1"	"startGovt2"	"startGovt3"	"startGovt4"	"startStatus1"	"startStatus2"	"startStatus3"	"startStatus4"	"startKills"	"introTextID"	"introPictID1"	"introPictID2"	"introPictID3"	"introPictID4"	"introPictDelay1"	"introPictDelay2"	"introPictDelay3"	"introPictDelay4"	"onStart"	"Flags"	"startDay"	"starMonth"	"startYear"	"DatePrefix"	"DateSuffix"	"EOR"
chär	128	"Miner"	"Miners"	0	128	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	129	-1	-1	-1	-1	-1	-1	-1	-1	""	0x0001	23	6	2177	""	" NC"	"•"
• Begin dësc
"Type"	"ID"	"Name"	"File"	"Graphic"	"Movie"	"Flags"	"Description"	"EOR"
dësc	128	"L1 Station"	"Miners"	0	""	0x0000	"Welcome to Level 1, player. This level is just here to let you get used to the controls. There are no Pirates here. You need 50,000 credits to pass the hypergate."	"•"
dësc	129	"L2 Station"	"Miners"	0	""	0x0000	"Welcome to Level 2, player. There is more technology here. You need 100,000 credits to pass the hypergate."	"•"
dësc	130	"L3 Station"	"Miners"	0	""	0x0000	"Welcome to Level 3, player. Watch out for Pirates! You need 150,000 credits to pass the hypergate."	"•"
dësc	131	"L4 Station"	"Miners"	0	""	0x0000	"Welcome to Level 4, player. There are some special asteroids around that bring more money. You need 200,000 credits to pass the hypergate."	"•"
dësc	132	"L5 Station"	"Miners"	0	""	0x0000	"Welcome to Level 5, player. Watch out, the Pirates are becoming nasty here. You need 250,000 credits to pass the hypergate."	"•"
dësc	133	"L6 Station"	"Miners"	0	""	0x0000	"Welcome to Level 6, player. There are some more special asteroids. You need 300,000 credits to pass the hypergate."	"•"
dësc	134	"L7 Station"	"Miners"	0	""	0x0000	"Welcome to Level 7, player. Watch out, the interferences are dense now. You need 350,000 credits to pass the hypergate."	"•"
dësc	135	"L8 Station"	"Miners"	0	""	0x0000	"Welcome to Level 8, player. You need 400,000 credits to pass the hypergate."	"•"
dësc	136	"L9 Station"	"Miners"	0	""	0x0000	"Welcome to Level 9, player. You need 450,000 credits to pass the hypergate."	"•"
dësc	137	"L10 Station"	"Miners"	0	""	0x0000	"Welcome to Level 10, player. Oops, this is bad. Looks like all those hypergate jumps damaged your radar and now it is completely out of order. To find back to the station, select it and do not select any ship. Then press and hold the autopilot key and your ship will point at it. Don't worry, there's just one more to go. You need 500,000 credits to pass the hypergate."	"•"
dësc	138	"L1 Hypergate"	"Miners"	0	""	0x0000	""	"•"
